REFRIGERANTE MAGISTRAL GOLD 350ML;R$ 1,50;MERCADINHO POPULAR;AVE RIO MADEIRA, NRO 440, N S DAS GRACAS, MANAUS-AM, CEP 69053-030
REFRIGERANTE GRAPETTE UVA VERDE 250ML;R$ 1,50;MERCADINHO BRASIL;R BARAO DE SAO DOMINGOS, NRO 061, CENTRO, MANAUS-AM, CEP 69005-010
REFRIGERANTE GRAPETTE 350ML;R$ 1,50;MERCADINHO UNIAO;AV DUQUE DE CAXIAS, NRO 1246, PRACA 14 DE JANEIRO, MANAUS-AM, CEP 69020-141
REFRIGERANTE GRAPPET;R$ 1,50;PANIFICADORA KATIUCIA;AV. CONSTANTINO NERY, NRO 110, CENTRO, MANAUS-AM, CEP 69000-000
REFRIGERANTE COCA COLA PT 250ML UN COCA COLA;R$ 1,54;PADARIA LISBOA;RUA VOLUNTARIOS DA PATRIA, NRO 432, VILA DA PRATA, MANAUS-AM, CEP 69030-520
REFRIGERANTE REAL 26;R$ 1,55;SUPERMERCADO NOVA CIDADE;MARGARITA, NRO 35, CIDADE NOVA, MANAUS-AM, CEP 69097-207
REFRIGERANTE COCA CO;R$ 1,59;CARREFOUR;AV JORNALISTA HUMBERTO CALDERARO FILHO 203, NRO 203, ADRIANOPOLIS, MANAUS-AM, CEP 69057-015
REFRIGERANTE COCA COLA PET ZERO 250ML UND;R$ 1,70;VAREJAO VIEIRALVES;AV JOAO VALERIO, NRO 664, NOSSA SENHORA DAS GRACAS, MANAUS-AM, CEP 69053-140
REFRIGERANTE BARE LA;R$ 1,70;MERCADINHO VERONA;AV OSCAR BOREL, NRO 233, COMPENSA, MANAUS-AM, CEP 69035-210
REFRIGERANTE GRAPETTE UVA 35OML;R$ 1,75;MERCADINHO 3 CORACOES;RUA VEIGA MIRANDA, NRO 590, SANTO ANTONIO, MANAUS-AM, CEP 69029-340
REFRIGERANTE MAGISTRAL GOLD 350G;R$ 1,75;MERCADINHO 3 CORACOES;RUA VEIGA MIRANDA, NRO 590, SANTO ANTONIO, MANAUS-AM, CEP 69029-340
REFRIGERANTE MAGISTRAL GRAPETTE UVA 35OML;R$ 1,75;MERCADINHO SALVADOR;R JOAO PAULO I, NRO 336, ALVORADA, MANAUS-AM, CEP 69042-210
REFRIGERANTE GURY COLA 350ML;R$ 1,75;MERCADINHO BRASIL;R BARAO DE SAO DOMINGOS, NRO 061, CENTRO, MANAUS-AM, CEP 69005-010
