CERVEJA ITAIPAVA PREMIUM 269ML;R$ 2,79;SUPERMERCADO RODRIGUES;AV AUTAZ MIRIM, NRO 7451, TANCREDO NEVES, NAO INFORMADO, MANAUS-AM, CEP 69085-000
CERVEJA ITAIPAVA PILSEN LN 250ML;R$ 2,79;SUPERMERCADO RESENDE;RUA ALMERON CAMINHA, NRO S/N, PETROPOLIS, MANAUS-AM, CEP 69067-200
CERV ITAIPAVA 0,00% ALCOOL 355;R$ 2,80;POSTO PARQUE DEZ;AV MANECA MARQUES, NRO 1902, PQ DEZ DE NOVEMBRO, CJ CASTELO BRANCO, MANAUS-AM, CEP 69055-021
ITAIPAVA LT 269ML;R$ 2,85;VAREJAO OSSAMI LARANJEIRAS;AVENIDA PROF NILTON LINS, NRO 195, FLORES, MANAUS-AM, CEP 69058-030
CERVEJA ITAIPAVA 250ML [DIVERSOS];R$ 2,99;MERCADINHO CASA BRANCA;RUA GUAIACO, NRO 175, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-133
CERVEJA ITAIPAVA;R$ 2,99;MANAUS;AV AUTAZ MIRIM, NRO 3330, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-005
CERVEJA ITAIPAVA PILSEN 269ML;R$ 2,99;FARMABEM;AV TORQUARTO TAPAJOS, NRO 5550, COL STO ANTONIO, MANAUS-AM, CEP 69093-018
CERVEJA ITAIPAVA PILSEN LA 269ML;R$ 3,00;TABERNAO;RUA FRANCISCO ARRUDA, NRO 301, COROADO, MANAUS-AM, CEP 69083-060
CERV ITAIPAVA LN 250ML;R$ 3,00;AUTO POSTO BRASIL;AVGOVERNADORJOSELINDOSO, NRO 2560, PARQUEDEZDENOVEMBRO, MANAUS-AM, CEP 69054-285
CERVEJA ITAIPAVA PILSEN LONG 250ML;R$ 3,00;VITALLI ATACADO;AV. TORQUATO TAPAJOS, NRO 053, FLORES, MANAUS-AM, CEP 69050-830
CERV ITAIPAVA 350 ML;R$ 3,00;POSTO MAUAZINHO;AV COSME FERREIRA, NRO 11300, MAUAZINHO, MANAUS-AM, CEP 69075-775
CERV ITAIPAVA 250 ML;R$ 3,00;POSTO TURISMO II;AV DO TURISMO, NRO 109, PONTA NEGRA, MANAUS-AM, CEP 69037-005
CERVEJA ITAIPAVA PILSEN LATA 2;R$ 3,00;POSTO SANTA ETELVINA;AV. ARQUITETO JOSE HENRIQUES B. RODRIGUES, NRO 2499, SANTA ETELVINA, MANAUS-AM, CEP 69059-800
CER ITAIPAVA PILSEN 269 ML;R$ 3,00;POSTO SAO FRANCISCO;AV AUTAZ MIRIM, NRO 1000, JORGE TEIXEIRA, MANAUS-AM, CEP 69085-000
CERV. ITAIPAVA PREMIUM 269ML;R$ 3,00;POSTO MANAUARA IV - GC;AV AUTAZ MIRIM, NRO 8744, JORGE TEIXEIRA, POSTO, MANAUS-AM, CEP 69088-245
CERVEJA ITAIPAVA 250 ML LONG NECK;R$ 3,00;ALX FILIAL;AV NATHAN XAVIER DE ALBUQUERQUE, NRO 1389, NOVO ALEIXO, MANAUS-AM, CEP 69098-145
CERV ITAIPAVA LATA 350ML;R$ 3,00;COTAM DISTRITO;AV. BURITI, NRO 1569, DISTRITO, MANAUS-AM, CEP 69075-000
CERVEJA ITAIPAVA  LATA 269 ML;R$ 3,00;ALX FILIAL;AV NATHAN XAVIER DE ALBUQUERQUE, NRO 1389, NOVO ALEIXO, MANAUS-AM, CEP 69098-145
CERV ITAIPAVA PILSEN LN 250ML;R$ 3,00;VDL RAQUEL;RUA DONA RAQUEL DE SOUZA, NRO 039, PETROPOLIS, MANAUS-AM, CEP 69063-590
CERV ITAIPAVA PILSEN LN 250;R$ 3,00;Rio - XVIII;RUA:MARGARIDA,N.04 Q.40-A - CONJ.:NOVA CIDADE, NRO 004, NOVA CIDADE, MANAUS-AM, CEP 69097-305
ITAIPAVA PILSEN 269ML;R$ 3,00;ARENA;RUA SATIRO DIAS, NRO 400, SAO FRANCISCO, MANAUS-AM, CEP 69079-060
CERVEJA ITAIPAVA PILSEN 269ML;R$ 3,00;BAR ITAIPAVA;AV. MAX TEIXEIRA, NRO 662, FLORES, LOJA A, MANAUS-AM, CEP 69093-770
CERV ITAIPAVA PILSEN 269ML;R$ 3,00;Rio - XVIII;RUA:MARGARIDA,N.04 Q.40-A - CONJ.:NOVA CIDADE, NRO 004, NOVA CIDADE, MANAUS-AM, CEP 69097-305
CERVEJA ITAIPAVA 269ML;R$ 3,00;ORGANIZACOES KALEFU;RUA NAZARETH MESQUITA, NRO 012, PARQUE 10, UNIAO, MANAUS-AM, CEP 69054-501
CERV ITAIPAVA PREMIUM LT 269ML;R$ 3,00;AUTO POSTO RIACHAO;AV. MARGARITA, NRO 1147, CJ HAB NOVA CIDADE, MANAUS-AM, CEP 69094-770
CERV ITAIPAVA PILSEN LT 269ML;R$ 3,00;ILHA GELADA SEIXAS;AV TORQUATO TAPAJOS, NRO 018, NOVO ISRAEL, MANAUS-AM, CEP 69000-000
CERV ITAIPAVA 269ML;R$ 3,00;POSTO JAPIIM;AV. RODRIGO OTAVIO, NRO 4229, JAPIIM, MANAUS-AM, CEP 69077-000
CERVEJA ITAIPAVA LT;R$ 3,00;ILHA GELADA TIMBIRAS;AV. TIMBIRAS, NRO 92, CIDADE NOVA II, LOJA C, MANAUS-AM, CEP 69094-000
CERV ITAIPAVA PILSEN 269ML PC12;R$ 3,00;panificadora fruta pao;TRAV. 03 NRO 16 LJ. 06/07 CONJ. ICA PAR, NRO 003, ADRIANOPOLIS, MANAUS-AM, CEP 69053-590
CERVEJA ITAIPAVA LN;R$ 3,00;ILHA GELADA TIMBIRAS;AV. TIMBIRAS, NRO 92, CIDADE NOVA II, LOJA C, MANAUS-AM, CEP 69094-000
CERV. ITAIPAVA 250ML LONGNECK;R$ 3,00;POSTO MANAUARA IV - GC;AV AUTAZ MIRIM, NRO 8744, JORGE TEIXEIRA, POSTO, MANAUS-AM, CEP 69088-245
CERV ITAIPAVA PILSEN LN 250 ML;R$ 3,00;ILHA GELADA SEIXAS;AV TORQUATO TAPAJOS, NRO 018, NOVO ISRAEL, MANAUS-AM, CEP 69000-000
ITAIPAVA MALZBIER LATA 350ML;R$ 3,00;AUTO POSTO RIACHAO;AV. MARGARITA, NRO 1147, CJ HAB NOVA CIDADE, MANAUS-AM, CEP 69094-770
CERV ITAIPAVA 269 ML;R$ 3,00;POSTO TURISMO II;AV DO TURISMO, NRO 109, PONTA NEGRA, MANAUS-AM, CEP 69037-005
CERV ITAIPAVA 250 ML;R$ 3,00;IBK RENATO;RUA URAQUEMA, NRO 8, CIDADE NOVA 1, ETAPA 1, MANAUS-AM, CEP 69000-000
CERV ITAIPAVA 269 ML;R$ 3,00;IBK RENATO;RUA URAQUEMA, NRO 8, CIDADE NOVA 1, ETAPA 1, MANAUS-AM, CEP 69000-000
B.A CERVEJA ITAIPAVA PILSEN L.N  250ML;R$ 3,00;PANIFICADORA TROPICAL;RUA BENJAMIN CONSTANT, NRO 184, PETROPOLIS, MANAUS-AM, CEP 69063-010
CERV ITAIPAVA PILSEN LT 269ML;R$ 3,00;VDL ALEIXO;AV COSME E FERREIRA, NRO 6039, ALEIXO, KM 05, MANAUS-AM, CEP 69083-000
CERV ITAIPAVA PILSEN LT 350ML;R$ 3,00;AUTO POSTO RIACHAO;AV. MARGARITA, NRO 1147, CJ HAB NOVA CIDADE, MANAUS-AM, CEP 69094-770
CERVEJA ITAIPAVA PILSEN LN 250;R$ 3,00;POSTO SANTA ETELVINA;AV. ARQUITETO JOSE HENRIQUES B. RODRIGUES, NRO 2499, SANTA ETELVINA, MANAUS-AM, CEP 69059-800
CERVEJA ITAIPAVA LN PILSEN 250ML;R$ 3,00;BAR ITAIPAVA;AV. MAX TEIXEIRA, NRO 662, FLORES, LOJA A, MANAUS-AM, CEP 69093-770
B.A CERVEJA ITAIPAVA PILSEN 269ML;R$ 3,00;PANIFICADORA TROPICAL;RUA BENJAMIN CONSTANT, NRO 184, PETROPOLIS, MANAUS-AM, CEP 69063-010
CERVEJA ITAIPAVA PILSEN LATA 269ML;R$ 3,00;VITALLI ATACADO;AV. TORQUATO TAPAJOS, NRO 053, FLORES, MANAUS-AM, CEP 69050-830
