ACUCAR ITAJA 1KG;R$ 1,85;MERCADINHO 2 IRMAOS;RUA TERRA NOVA, CASA 1, NRO 415, SAO JOSE OPERARIO, MANAUS-AM, CEP 69085-080
ACUCAR DOCE DIA 1KG;R$ 1,85;DISTRIBUIDORA CEARA;AV ARICA, NRO 087, MAUAZINHO, MANAUS-AM, CEP 69075-771
ACUCAR DOCE DIA 1KG;R$ 1,85;MERCADINHO 2 IRMAOS;RUA TERRA NOVA, CASA 1, NRO 415, SAO JOSE OPERARIO, MANAUS-AM, CEP 69085-080
ACUCAR CRISTAL DOCE DIA 30X1KG;R$ 1,85;COMERCIAL TRIGOBOM;RUA ALUISIO BRASIL, NRO 10-A, JAPIIM, MANAUS-AM, CEP 69063-480
ACUCAR DOCE DIA 1K [MERCADINHO];R$ 1,85;MERCADINHO GANHA POUCO;RUA ANADOR, NRO 165, JOAO PAULO II, MANAUS-AM, CEP 69088-446
ACUCAR CRYSTALLI 1 KG;R$ 1,89;MERCADINHO MANUHELLA;RUA COBRA D'AGUA, NRO 058, JORGE TEIXEIRA, MANAUS-AM
ACUCAR LESTE 1KL;R$ 1,89;LEVY E SANTOS COMERCIO DE SERVICOS ALIMENTICIOS;AV. TOPAZIO, NRO 419, TANCREDO NEVES, MANAUS-AM, CEP 69087-058
ACUCAR LESTE 1KG;R$ 1,89;COMERCIAL BOI ZEBU;AV BRIGADEIRO HILLARIO GURJAO, NRO 2607, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-000
ACUCAR CRISTAL ITAMARATI 1KG;R$ 1,89;CDL ATACK FILIAL FLORES;AV. MAX TEIXEIRA, NRO 1878, FLORES, NAO INFORMADO, MANAUS-AM, CEP 69058-415
ACUCAR CRISTAL DOCE DIA KG;R$ 1,89;CALIFORNIA;RUA EZEQUIEL, 81, NRO 81, NOVO ISRAEL, MANAUS-AM, CEP 69039-090
ACUCAR CRIST ESP CRYSTALLI 1KG;R$ 1,89;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
ACUCAR CRISTAL 1KG ACUCARLESTE;R$ 1,89;CASA DE CARNE OTAVIO;RUA SAO EUSEBIO, NRO 219, TERRA NOVA, MANAUS-AM, CEP 69093-820
ACUCAR CRISTAL DOCE DIA 1KG;R$ 1,89;MERCADINHO VITORIA;R DOS PAVOES, NRO 48, CIDADE DE DEUS, MANAUS-AM, CEP 69099-593
