BOLO MACAXEIRA;2.0;COMERCIAL ALEX;RUA DOUTOR ARGEMIRO GERMANO, NRO 032, CIDADE NOVA, MANAUS-AM, CEP 69090-742
BOLO FATIA;2.0;PANIFICADORA KATIUCIA;RUA FIALHO D'ALMEIDA, NRO 056, COMPENSA, MANAUS-AM, CEP 69035-070
BOLO ANA MARIA PULLMAN CENOURACHOC;2.29;LOJA 12 SUPER EPHIGENIO SALLES;AV. EPHIGEIO SALLES, NRO 200, ADRIANOPOLIS, MANAUS-AM, CEP 69057-050
BOLO INGLES KG;2.49;SUPERMECADO CEZAR CIA LTDA;RUA 7B, NRO 001, SAO JOSE OPER., MANAUS-AM, CEP 69086-083
MIST BOLO APTI LAR POUCH 400G;2.49;36 - MANAUS;AV. GEN. RODRIGO OTAVIO 900, NRO 1, BAIRRO JAPIIM, MANAUS-AM, CEP 69077-000
MIST BOLO APTI ABACX POUCH400G;2.49;36 - MANAUS;AV. GEN. RODRIGO OTAVIO 900, NRO 1, BAIRRO JAPIIM, MANAUS-AM, CEP 69077-000
MIST P/BOLO SOL 400G;2.49;SUPERATACADO NOVA ERA;AV. ARQUITETO J.H.B. RODRIGUES, NRO 3760, MONTE DAS OLIVEIRAS, MANAUS-AM, CEP 69093-149
MIST BOLO SOL 400G F;2.49;SUPERATACADO NOVA ERA;AV. TORQUATO TAPAJOS, NRO 2871, DA PAZ, MANAUS-AM, CEP 69048-010
BOLO CASA SUICA P MEL 45G;2.5;EMPORIUM ROMA;RUA TEREZINA, NRO 351, ADRIANOPOLIS, NAO INFORMADO, MANAUS-AM, CEP 69053-070
BOLO DE MACAXEIRA;2.5;PANIFICADORA SABOR COM ARTE;RUA 92, NRO 21, CIDADE NOVA II, MANAUS-AM, CEP 69096-230
BOLO CASA SUICA BAUN GTAS/RECH CHOC 40G;2.5;EMPORIUM ROMA;RUA TEREZINA, NRO 351, ADRIANOPOLIS, NAO INFORMADO, MANAUS-AM, CEP 69053-070
BOLO MESCLADO;2.5;MERC. E PAN. SANTA ETELVINA;R NOSSA SENHORA DE FATIMA, NRO 576, SANTA ETELVINA, MANAUS-AM, CEP 69059-420
BOLO PUDIM FATIA;2.5;MERCADINHO RIO NEGRO;AV. BATRUM, NRO 076, TANCREDO NEVES, MANAUS-AM, CEP 69087-641
BASE LAMINADA PARA BOLO REDONDA PRATA 24CM 01UN;2.5;GRUPO BAIANO LOJA 10;AV. CONSTATINO NERY, NRO 4352, CHAPADA, MANAUS-AM, CEP 69050-001
BOLO DE QUEIJO;2.5;PANIFICADORA SABOR COM ARTE;RUA 92, NRO 21, CIDADE NOVA II, MANAUS-AM, CEP 69096-230
BOLO COBERTURA UNIDA;2.5;PADARIA E CONFEITARIA ALEMAO;RUA RODOLFO TEOFILO, NRO 156, NOVO ALEIXO, MANAUS-AM, CEP 69099-042
BOLO CASA SUICA TM BAUN RECH BAUN 40G;2.5;EMPORIUM ROMA;RUA TEREZINA, NRO 351, ADRIANOPOLIS, NAO INFORMADO, MANAUS-AM, CEP 69053-070
BOLO ANA MARIA PULLMAN NAPOLITANO 4;2.65;LOJA 19 SUPER PQ.DEZ;RUA LINDON JOHNSON, NRO 100, PQ.DEZ, MANAUS-AM, CEP 69054-700
BOLO CHOCOLATE E LEI;2.75;MERC. E PAN. SANTA ETELVINA;R NOSSA SENHORA DE FATIMA, NRO 576, SANTA ETELVINA, MANAUS-AM, CEP 69059-420
BAND.P/ BOLO COM TAM;2.75;SUPER JB;AVE BARAO DO RIO BRANCO, NRO 015, FLORES, MANAUS-AM, CEP 69058-581
MIST BOLO CIRA CHOCO;2.79;SUPERMECADO BARATEIRO;AV OSCAR BOREL, NRO 030, COMPENSA, MANAUS-AM, CEP 69035-210
MIST BOLO CIRA LARAN;2.79;SUPERMECADO BARATEIRO;AV OSCAR BOREL, NRO 030, COMPENSA, MANAUS-AM, CEP 69035-210
BOLO COCO APTI SH 40;2.85;ELIANE CAVALCANTE PINTO ME;BOM INTENTO, NRO 121, SAO JOSE OPERARIO, MANAUS-AM, CEP 69086-133
BOLO CHOC APTI SH 40;2.85;ELIANE CAVALCANTE PINTO ME;BOM INTENTO, NRO 121, SAO JOSE OPERARIO, MANAUS-AM, CEP 69086-133
MISTURA P/BOLO RENAT;2.89;SUPERMECADO BARATEIRO;AV OSCAR BOREL, NRO 030, COMPENSA, MANAUS-AM, CEP 69035-210
APTI MISTURA P/BOLO MILHO 400G;2.9;MARA FRIOS;AVE BRIGADEIRO HILARIO GURJAO - 1 ETAPA, NRO 22, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-000
APTI MIST BOLO LARANJA 400G;2.9;MARA FRIOS;AVE BRIGADEIRO HILARIO GURJAO - 1 ETAPA, NRO 22, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-000
MISTURA PARA BOLO CIRA LARANJA;2.9;M A LAURENTINO BARRETO - ME;AVE PRAIA DO FUTURO LT 5 QD 17 - RES RIO SOLIMOES, NRO 005, TARUMA, MANAUS-AM, CEP 69041-400
MIST.P/BOLO MARATA;2.95;MANAUS;AV AUTAZ MIRIM, NRO 3330, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-005
MIST.P/BOLO MARATA M;2.95;MANAUS;AV AUTAZ MIRIM, NRO 3330, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-005
MISTURA PARA BOLO CH;2.98;J.R.N.S COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;AVE NHAMUNDA, NRO 1441, PRACA 14, MANAUS-AM, CEP 69020-190
BOLO BOMBOCADO;2.99;CASA DE CARNE OTAVIO;RUA PADRE JOAO RIBEIRO, NRO 110, CANARANAS, MANAUS-AM, CEP 69097-000
BARRA BOLO DE CHOC C 3 66G NUTRY;2.99;LOJAS AMERICANAS S/A;AV DJALMA BATISTA, NRO 1661, CHAPADA, MANAUS-AM, CEP 60050-010
MIST BOLO CIRA CHOCO;2.99;R G COMERCIO DE PROD ALIM LTDA-ME;PCA 15 DE NOVEMBRO, NRO 137, CENTRO, MANAUS-AM, CEP 69005-400
MIST BOLO CIRA LARAN;2.99;R G COMERCIO DE PROD ALIM LTDA-ME;PCA 15 DE NOVEMBRO, NRO 137, CENTRO, MANAUS-AM, CEP 69005-400
BOLO DE MACAXEIRA;3.0;PANIFICADORA LUDELL;RUA 10 DE JULHO, NRO 058, COMPENSA, MANAUS-AM, CEP 69036-060
BOLO DE MACAXEIRA;3.0;AUXILIADORA COM. REPRESENTACOE;RUA PENETRACAO, NRO 046, MUTIRAO, MANAUS-AM, CEP 69000-000
BOLO SEM TRIGO;3.0;PANIFICADORA SABOR COM ARTE;RUA 92, NRO 21, CIDADE NOVA II, MANAUS-AM, CEP 69096-230
BOLO FATIA;3.0;PADOCA PAES E CONVENIENCIA;RUA COMENDADOR VICENTE CRUZ, NRO 439, SANTO ANTONIO, MANAUS-AM, CEP 69029-075
BOLO FATIA;3.0;LAN GRILL MILLENNIUM;AV DJALMA BATISTA, NRO 1661, CHAPADA, MANAUS-AM, CEP 69050-010
